,container,namespace,node,pod,2022-04-21_23_00_00,2022-04-21_23_01_00,2022-04-21_23_02_00,2022-04-21_23_03_00,2022-04-21_23_04_00,2022-04-21_23_05_00,2022-04-21_23_06_00,2022-04-21_23_07_00,2022-04-21_23_08_00,2022-04-21_23_09_00,2022-04-21_23_10_00,2022-04-21_23_11_00,2022-04-21_23_12_00,2022-04-21_23_13_00,2022-04-21_23_14_00,2022-04-21_23_15_00,2022-04-21_23_16_00,2022-04-21_23_17_00,2022-04-21_23_18_00,2022-04-21_23_19_00,2022-04-21_23_20_00,2022-04-21_23_21_00,2022-04-21_23_22_00,2022-04-21_23_23_00,2022-04-21_23_24_00,2022-04-21_23_25_00,2022-04-21_23_26_00,2022-04-21_23_27_00,2022-04-21_23_28_00,2022-04-21_23_29_00,2022-04-21_23_30_00,2022-04-21_23_31_00,2022-04-21_23_32_00,2022-04-21_23_33_00,2022-04-21_23_34_00,2022-04-21_23_35_00,2022-04-21_23_36_00,2022-04-21_23_37_00,2022-04-21_23_38_00,2022-04-21_23_39_00,2022-04-21_23_40_00,2022-04-21_23_41_00,2022-04-21_23_42_00,2022-04-21_23_43_00,2022-04-21_23_44_00,2022-04-21_23_45_00,2022-04-21_23_46_00,2022-04-21_23_47_00,2022-04-21_23_48_00,2022-04-21_23_49_00,2022-04-21_23_50_00,2022-04-21_23_51_00,2022-04-21_23_52_00,2022-04-21_23_53_00,2022-04-21_23_54_00,2022-04-21_23_55_00,2022-04-21_23_56_00,2022-04-21_23_57_00,2022-04-21_23_58_00,2022-04-21_23_59_00,2022-04-22_00_00_00
0,acm-agent,open-cluster-management-agent-addon,oct-03-08-compute,klusterlet-addon-workmgr-7b9f55df74-rkcdh,,0.002215226969211947,0.004171516694535801,0.013217899396596573,0.01553071696617245,0.018614008296296343,0.017644961796296415,0.018094935000000013,0.012496589925926097,0.013206018800000224,0.01284496015555558,0.013042726622222323,0.012984862262963075,0.019445629796296174,0.017987607256215454,0.017702776977777526,0.018737051685185115,0.01833125627037033,0.012712766322222166,0.01375713669259287,0.013026305140740786,0.013568688103703572,0.012810434711111107,0.018230403285185225,0.01935792975925905,0.019179926892592517,0.019191899533333345,0.018972227348148057,0.013522296803703874,0.01360943864074047,0.01336747932592575,0.012672569111111056,0.01337791041481498,0.01806703334814849,0.01928408120370351,0.01983633378271249,0.019588875537036716,0.019732806403703763,0.013672785933333334,0.013276843577777645,0.013808132129629822,0.01329227701481462,0.01232284259629658,0.018197922577777532,0.018975140207407582,0.019246204248148154,0.019641297348148245,0.019092508048148223,0.013373625322681439,0.013997851555555592,0.013580552722222214,0.013752944062962848,0.013037869082141666,0.0193438594259259,0.01850713899259265,0.018346680992592443,0.01817307364787519,0.01837632164814817,0.013954439725926108,0.014213551362963196,0.013084575166666819
1,alertmanager,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,0.0099149242629614,0.008028897956215315,0.00606948480720157,0.004395164074777591,0.0024320233379975585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,alertmanager,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,,0.0012926152059397678,0.0028454456718331783,0.0045321938667706105,0.006095541420458934,0.008038180140741773,0.007868251414816365,0.008165078007405773,0.008084367774073245,0.0075769438148132326,0.008184045111112129,0.007860985192595156,0.007856443033331204,0.008165253970370637,0.008119632118518051,0.007971795255555966,0.008024592125928865,0.007748841713641862,0.007441534281483824,0.007408628985184705,0.00689633214444459,0.007038619066666057,0.006584026992593998,0.006736044033334987,0.006941116222222061,0.00726273365184911,0.00795108413333394,0.00798070646296091,0.008176514555553797,0.007813866314814665,0.007808797503703655,0.007845607988888838,0.0078103264851860235,0.007308020562962796,0.00796764223703711,0.0075391345740744905,0.007824171292590849,0.0076006026629632595,0.007366000366666278,0.007699638451851098,0.007615892892590637,0.007662048304241442,0.0081669034481483,0.007622581870368272,0.007593313911109834,0.008045475881482599,0.008237635166666157,0.008080162699998592,0.00845968292592766,0.007989480900000167,0.008058424666668779,0.008079510699998436,0.007843461281481723,0.007440970811111819,0.00803427074074029,0.007658810829629888,0.007883022625928453,0.0075247974444445625,0.008294329392595468,0.007996184062961187,0.00756748370370217
3,alertmanager-proxy,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,0.006905538359259717,0.0058283803696198185,0.007138087559913496,0.006442758628933759,0.006530551060229696,0.00555513356378543,0.00724099613333372,0.006960327644443439,0.007389672225926242,0.007093011044445222,0.007242987007406622,0.00731434348148199,0.006769879792591383,0.006859631640741606,0.00719494830370456,0.006982878729626531,0.006564522225926339,0.006909124237039645,0.006422191018518115,0.006776873948149809,0.006548161837037225,0.00679438320000069,0.007106728422220638,0.006875305225926071,0.007347884948147246,0.007056644016635343,0.006933212411112672,0.007043656811108829,0.007006354140508317,0.006749242722219573,0.006923922196293225,0.00698271486296478,0.007004505288888915,0.006635735240740394,0.006718316270369676,0.007288445474073848,0.00742545395926047,0.006964761566669714,0.007262822044443358,0.006974130618517747,0.006781055422224773,0.0067126873592584435,0.007248865611112437,0.006727862644445984,0.006894340496297378,0.0067879378000018035,0.006719851729630372,0.006913906714813763,0.0069646132185173185,0.0068284292555559935,0.007005268844443857,0.007210516466666714,0.007012603929632422,0.0068134044444445015,0.007134529474074549,0.00668326051481253,0.006858325796296144,0.0064956914222252474,0.0067455484222221085,0.006712752192591627,0.006834529437037417
4,alertmanager-proxy,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,0.0060126536629619915,0.005070352609668896,0.003839282348435612,0.0021162411918127003,0.0014635238845049285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,alertmanager-proxy,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,0.003313406300000039,0.0033043156041364916,0.0034753634015142,0.003295240328030248,0.003537309096305695,0.0027190444974973514,0.003095664981481571,0.0033504250851853646,0.0034065704444443596,0.0032432855925932287,0.00316615078518478,0.003532183133333328,0.00344938400370396,0.00350592776666653,0.003425015377777325,0.0034715418629629215,0.003197517970370764,0.003212526240740435,0.003213102955555769,0.0033648446037036427,0.003389544677778152,0.0030831502296290707,0.003050630218519001,0.0033612259370371517,0.0029889033111110755,0.003295904385185235,0.0032169659444443153,0.0032921331370365198,0.0032849488370368784,0.003433479077778059,0.0032537362666668437,0.003199260907407127,0.0034716252222223277,0.0032324331148149417,0.0032174349148144086,0.0032030367851845127,0.0034018032074072833,0.0032908582074082076,0.003343915085185842,0.0033301113407408897,0.003276527714815024,0.0031437490148147375,0.0030388424555557896,0.0030789741037038024,0.003167842400000188,0.003302548600000019,0.0033184438703697367,0.0033530501333332184,0.0034422275148143756,0.0031919936851855474,0.003253707233333174,0.0034318286888888167,0.0035249866777778355,0.0034788085444444265,0.003471938185185132,0.0035250925407412812,0.003383086611110971,0.003497445274074043,0.003318234337037514,0.003293522785185343,0.003313815962962542
6,amun-api,thoth-amun-api-prod,oct-03-15-compute,amun-api-2-44r7x,0.0005504194787333023,0.0005165527962971182,0.0005299908888884131,0.0005471659703693554,0.0005803485777775036,0.0005068221333338577,0.00047537015925964055,0.0004841988037023165,0.0004766793629642052,0.0005022028215210615,0.0005254103333316852,0.0005174892148143381,0.0005123935370378335,0.0005175407259263954,0.0005297408111093521,0.0004904404259259873,0.0004950320481468764,0.00048111574814592363,0.0005165965770616529,0.0005104112925942496,0.0005069090740747655,0.0005220895074065387,0.0005087387165826631,0.0005176958555542418,0.0004978057592577695,0.0005075351412589052,0.0005269250851866942,0.0005511771740741635,0.0004988701879286182,0.0005087473814792584,0.0005198422592608646,0.0004881377740713544,0.0005088079333324492,0.0004884905814833473,0.000500857374074123,0.0005250841370373867,0.0005048646027009733,0.0005052520296312987,0.0005298126814826295,0.0005399687962987324,0.0005143910666649593,0.0005348404888873456,0.0005501928592585264,0.0005332979777786359,0.000508630592992585,0.00047953039259448783,0.00049436329629518,0.0005107443111127295,0.0004937600185190537,0.000519091614815234,0.0005281829942624146,0.000518099096296754,0.0005261301125572015,0.0005076055370375764,0.0005463753222203296,0.0005180642905542529,0.0005043928629607695,0.0004977618222222157,0.0005282562370363546,0.0005169120185200881,0.0005835232185172909
7,api,opf-pulp,oct-03-31-compute,pulp-api-5899cb8576-cdcvg,,0.0043094092751413725,0.008787708982981644,0.013477112282299746,0.018110946196800575,0.024527293012129085,0.024976508233332965,0.02646507655556855,0.025003338637044955,0.023827989814822946,0.024249947440747984,0.02377682277407008,0.022436015370368732,0.02398041955926197,0.022888310711116196,0.022932691703694958,0.021661840414822952,0.021483976303702718,0.02165882880369652,0.02733563540370799,0.03625796865555997,0.051519900833335235,0.06264349710370341,0.0732762284926004,0.07354060543704556,0.061845056418517036,0.05805891006297047,0.05042407245184424,0.04994285955926225,0.0514494843592628,0.05159360523703745,0.04885000410741432,0.05074689858148405,0.04837804268889293,0.044116017892587546,0.038280881674075284,0.032205273551840545,0.027799408870365975,0.02967832878888725,0.04245858161481953,0.05421183171482106,0.06536713425554842,0.07796153479629774,0.07721436884073936,0.07872388452222502,0.07779648603333314,0.06395814691852676,0.05210441936297112,0.043258931029628946,0.030043624666669294,0.02519480037778892,0.027607303092601666,0.027597694100000406,0.026450723666669177,0.026651845688886372,0.023568975281482888,0.022937139603702774,0.023147633803711397,0.027433884144435674,0.03091521717776939,0.035646810503708874
8,apicurio-bot,apicurio-apicurio-registry,oct-03-24-compute,apicurio-bot-75dc486b59-sz2wt,0.0007107849999998608,0.0007253141074074763,0.0006835423407406122,0.0007202551925925289,0.000691935048148143,0.0006822884222222675,0.0006939973481480509,0.000719747840740739,0.0006868535851851819,0.0007474410185184129,0.0007300937407407033,0.0007336836851851348,0.0006800307518519562,0.0006466277370369274,0.0006836897925927166,0.0006858611370369595,0.0006920777925925164,0.0006483678777777237,0.0006763985740740788,0.0006791206555556494,0.000636950629629601,0.0006191283814814596,0.0006306542481480746,0.0006479152925925923,0.0006366632333334076,0.0006341040444445517,0.0006238615666665771,0.0006677331925926764,0.0006285770518519274,0.0006182876370370718,0.0006487902074072567,0.0006340595148148825,0.0006550961555555441,0.000641917925926068,0.0006617087666665224,0.0006275370037037142,0.0006310747592591624,0.0006396462407407298,0.0006149825407406853,0.0006796689555556071,0.0006328295851852141,0.0006361985592592292,0.0006385648518519079,0.0006519590296296361,0.0006196412111109937,0.0006570007222221733,0.0006668149074073426,0.0006530062925925769,0.0006391758938955603,0.0006251624222222239,0.0005738855851851204,0.000581366462962815,0.0005891656938198732,0.0005919117888890081,0.0006162910481481066,0.0005736685777778635,0.0006354937185183947,0.0006333466925925509,0.0006481597814814467,0.0006518783148147089,0.0006050918851852001
9,apicurio-registry,apicurio-apicurio-registry,oct-03-24-compute,apicurio-registry-c89c8df66-l6kzs,0.0007977111000000319,0.0008120206814813476,0.0008463845333330434,0.000826392470370323,0.0007751247518517293,0.0007932060481481232,0.0008157301185187189,0.0007768778481481267,0.0008083869333332856,0.0008026579740742448,0.0008001064037035509,0.0008006439259256021,0.0007870562555556009,0.0008051637777780512,0.0007706383481478143,0.0008064497111107543,0.0007908112814814356,0.0008192213074073185,0.0007779270148144287,0.0008065368407406587,0.0007993386333333143,0.0007900721999998563,0.0008222096666667379,0.0008413753222224909,0.0008671245629628815,0.0008967304037035454,0.0009007280629631439,0.0008816127518516455,0.0009211676148146986,0.0008587269259258527,0.0008947456555557876,0.0009064002296297615,0.000859455040740529,0.0008184195703704603,0.0008631200962962861,0.000837187922222374,0.0008656417333331438,0.0008194822962962092,0.0008547426925925148,0.0008910583592591205,0.000877506755555428,0.0008440486814812949,0.0008548582259255387,0.0008249471304129194,0.0008532477814814802,0.0008408540925925249,0.0008414389962964648,0.0008354896628096986,0.0008588876481482018,0.0008693858444446421,0.0008361994259256857,0.0008468526370367929,0.0008599999444447383,0.0008480646851854477,0.0008102895296293287,0.0008626344148145412,0.0008193778296298728,0.0008430647407408287,0.0008804364481483795,0.0008605662407409944,0.0008895087962965018
