,container,namespace,node,pod,2022-04-22_16_00_00,2022-04-22_16_01_00,2022-04-22_16_02_00,2022-04-22_16_03_00,2022-04-22_16_04_00,2022-04-22_16_05_00,2022-04-22_16_06_00,2022-04-22_16_07_00,2022-04-22_16_08_00,2022-04-22_16_09_00,2022-04-22_16_10_00,2022-04-22_16_11_00,2022-04-22_16_12_00,2022-04-22_16_13_00,2022-04-22_16_14_00,2022-04-22_16_15_00,2022-04-22_16_16_00,2022-04-22_16_17_00,2022-04-22_16_18_00,2022-04-22_16_19_00,2022-04-22_16_20_00,2022-04-22_16_21_00,2022-04-22_16_22_00,2022-04-22_16_23_00,2022-04-22_16_24_00,2022-04-22_16_25_00,2022-04-22_16_26_00,2022-04-22_16_27_00,2022-04-22_16_28_00,2022-04-22_16_29_00,2022-04-22_16_30_00,2022-04-22_16_31_00,2022-04-22_16_32_00,2022-04-22_16_33_00,2022-04-22_16_34_00,2022-04-22_16_35_00,2022-04-22_16_36_00,2022-04-22_16_37_00,2022-04-22_16_38_00,2022-04-22_16_39_00,2022-04-22_16_40_00,2022-04-22_16_41_00,2022-04-22_16_42_00,2022-04-22_16_43_00,2022-04-22_16_44_00,2022-04-22_16_45_00,2022-04-22_16_46_00,2022-04-22_16_47_00,2022-04-22_16_48_00,2022-04-22_16_49_00,2022-04-22_16_50_00,2022-04-22_16_51_00,2022-04-22_16_52_00,2022-04-22_16_53_00,2022-04-22_16_54_00,2022-04-22_16_55_00,2022-04-22_16_56_00,2022-04-22_16_57_00,2022-04-22_16_58_00,2022-04-22_16_59_00,2022-04-22_17_00_00
0,acm-agent,open-cluster-management-agent-addon,oct-03-08-compute,klusterlet-addon-workmgr-7b9f55df74-rkcdh,0.013847260666666781,0.013056461285184553,0.013578183822221911,0.018302637340740252,0.01877532142962924,0.01838789176296342,0.018619815192592225,0.0184427607999994,0.013635873914815286,0.013732283692593227,0.01319011516666672,0.01344978810370355,0.012950329029629554,0.019320155188889087,0.019788476074073618,0.01912702274444453,0.01876102221111119,0.018692060722221668,0.01392075720740717,0.013912974503703615,0.0136599594222229,0.014080217122222571,0.012872101748148117,0.018152914470370315,0.019717740866666715,0.019044288622222263,0.01931872822222229,0.0183175573629628,0.012719923151852257,0.013422278422222513,0.013331008240740834,0.013432913348148117,0.013500271803704219,0.018614765374074218,0.018024504574073372,0.01807206272962958,0.018020178818518515,0.01778691523333304,0.013179206925925698,0.013103981829629076,0.013556427618518514,0.013558109225926238,0.01301618022962935,0.01934996984814798,0.019262601055555495,0.01925942307777775,0.018651583388889406,0.019192685881481944,0.013609039392592963,0.013316851381481415,0.01327104406296308,0.01360348654074086,0.013888315648148785,0.021857744729629338,0.021207301744444792,0.02210345849629684,0.021719744825925234,0.02206082166296289,0.01610577259629601,0.01587007781111138,0.016301873907407217
1,alertmanager,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,0.008806536336398494,0.009230357170370688,0.00953128417407209,0.008758165488887715,0.008664032362964834,0.008732854518519972,0.008620247922219817,0.008763461470371785,0.009454423848149384,0.009483349707409583,0.00936143759629852,0.009515540551853554,0.009479783607407121,0.008786076385186553,0.009343520477779277,0.00885831955926093,0.009081244707404377,0.009181509955555224,0.009001868311110297,0.00880208429629487,0.008689892859257708,0.008632589544443665,0.008977487303703431,0.008517300688890828,0.008886765000001845,0.008804089159258621,0.008662625285183755,0.008917572707408302,0.009099252833331978,0.008940550577776945,0.008702008892591779,0.00870431580000244,0.008777899722220657,0.008805296155555375,0.008712828422223403,0.008799897292589811,0.009088626114815404,0.008533218751852945,0.008594956596297615,0.008889946022224683,0.00924902647777883,0.008726023266667148,0.008705191692034887,0.008495117888887089,0.008900535596297198,0.008823053329035503,0.008580770777775292,0.009056290640738655,0.008952850407408902,0.009165801877777456,0.009271366748149983,0.009110487603703843,0.008644527348146597,0.009452473685184856,0.009169210614813723,0.009064737274072993,0.00898716433333633,0.008847515355554841,0.008971967407409532,0.00853733336296298,0.00879572299999954
2,alertmanager,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,0.008273916537035367,0.007920177340740879,0.0074993478407392395,0.008007201414814822,0.007624467233330912,0.0074745008851837,0.007946744818518375,0.00789016480370332,0.007728427855555413,0.007553150188889254,0.008269002951850849,0.007861402074073947,0.008089949948888791,0.007714171329630687,0.007570516366666671,0.0076709270333325304,0.007655070755555682,0.007392080025925277,0.00764918729259484,0.008166076314814242,0.008016940955554608,0.007514576714816538,0.0076980034814806905,0.007846933499998463,0.007991197044446854,0.008171956637037243,0.00815199554074045,0.007919155820589063,0.007787274040742045,0.007463806051853481,0.007854348163950406,0.007853726503701723,0.0076121367851859165,0.007506476055553963,0.00805455873899848,0.007866219540739152,0.007795004625926663,0.008183082551851033,0.0074208466888901784,0.007731106059260062,0.007907369214815307,0.0075508772407408345,0.007649941681484053,0.007471496429628101,0.00768710907407324,0.007880678081481301,0.007482791466665935,0.007859546625928086,0.00805825682592614,0.008289412048149342,0.00810216861851856,0.008174226240741217,0.007703320633333568,0.007563133366666418,0.007398222507409057,0.007727273448145517,0.007674840127856058,0.007581856929627303,0.007973665466666988,0.007823464503703524,0.008139243737039378
3,alertmanager,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,0.004871242800000228,0.0049562773703706224,0.004802062825926138,0.004821835762962749,0.0049506360333335005,0.004690614085186301,0.005025710844443489,0.0049726748629618,0.004951417807406297,0.005385769614814409,0.005265418814815348,0.00525207301481411,0.005217590307406513,0.004888596429629144,0.004838063703704798,0.004758502000000859,0.00472800893703775,0.004428646922222604,0.004741208559259273,0.004640110314814458,0.005043871992593604,0.00462236691481579,0.004905136933333173,0.004850692033333973,0.004876048559258885,0.004774825107406961,0.004849781788890242,0.00479947480000057,0.004628995192591969,0.004953503881481285,0.00478819318518449,0.0046745077185194,0.004853125029628953,0.0045206389407397825,0.004902205907407094,0.005042506944445685,0.004614178748146582,0.005021068885185674,0.004703600714814187,0.004706302599999146,0.00446918137407482,0.004962635199998894,0.00481699432592635,0.004624847666666567,0.005131199166665586,0.004960366033332389,0.0048180096222208875,0.004698950170371029,0.004499875503703758,0.004411731100001109,0.004530031466666279,0.0044452764518508854,0.00459453650740687,0.004911164870369518,0.0048920436296292025,0.004610385596296746,0.004580231329631109,0.004538289303703398,0.0047139128703714015,0.004798848648148056,0.004731855548147401
4,alertmanager-proxy,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,0.006038901845234282,0.006131157925924695,0.006124245125927162,0.005791764944445243,0.00606592678147906,0.006100341662965581,0.005746086388889024,0.005735787737035867,0.005911448488889922,0.005620230503703809,0.005874979355556005,0.005851453729630723,0.0056908871740739015,0.005957517918519712,0.005743658470372019,0.0060197124703706695,0.0059255974925926476,0.006238270640740127,0.006199398725924834,0.005958921240741162,0.005880741848145759,0.006019004844445051,0.006052515059258844,0.006088590585184446,0.006165810307407406,0.0064900875518509975,0.00619894299999807,0.00652811174074183,0.0063647872148134485,0.0062160435629636974,0.006123128844444215,0.006469296074074346,0.006235042059260768,0.006324433292593312,0.006421705122220037,0.0059465828740771776,0.006050888366667937,0.005975276148146131,0.006210787077779296,0.006096888988887023,0.006375969577776333,0.00609542904444593,0.006227510373842527,0.005811441800000871,0.006225445222224625,0.006402532431121688,0.005806905614816869,0.006233303959258289,0.005990438066668571,0.006164416140742375,0.006171349522224369,0.006046359344445254,0.005890632903703119,0.006446530114815822,0.006075033514813792,0.005763584333332498,0.006080109233331583,0.0059109719333314895,0.005925087474076497,0.005895557470369197,0.005939525611110084
5,alertmanager-proxy,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,0.006315467377778449,0.006096972655554797,0.006407417866665602,0.0059009926333332,0.0061146375000000145,0.0064251472222235035,0.006271899155554248,0.006271697925927181,0.006253043381480828,0.006214397540740418,0.00627881364444639,0.0063293428407396966,0.006417746566714963,0.0063320577518526195,0.006261563748146864,0.006273482200002172,0.0062990373666690636,0.006343155714812048,0.005973895800000013,0.006510841625923706,0.006418727355554036,0.00663302964814513,0.006047872348150393,0.006640649162963437,0.006297774981481377,0.006561418566666868,0.006047457340739333,0.0064153611318963685,0.006380536781482619,0.006465560525925363,0.006070644368885548,0.006236662703705171,0.005983281618517613,0.006122718318517772,0.006185295991229332,0.005876761414816026,0.006711960281481207,0.006341468448145963,0.006429909274073808,0.006345212692593596,0.0060258313185167275,0.005969848188888811,0.0066953876703674175,0.006741224170370213,0.006377765985187717,0.006172760437038962,0.00603668712963015,0.006107394674075262,0.006090948203705518,0.006362350266664619,0.006434425948147558,0.00646914780740594,0.006534992111112473,0.006663121033334056,0.006441559685185053,0.006839128277779648,0.006530635003351392,0.006283764181481039,0.00619030316296024,0.005782541948149259,0.006160021744445086
6,alertmanager-proxy,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,0.003411752677778134,0.0032605957740745204,0.003387769666666693,0.0035382738851846324,0.003412462255555174,0.003306324166667057,0.0032631505296295575,0.0035691428296297967,0.003193879440740838,0.0031665327666671687,0.0033680819259256233,0.00334251327407384,0.0032589455592591954,0.0032440030185179477,0.003202711222221903,0.0032451026037034793,0.0033555679814812555,0.0033145102629633686,0.0031091506666665806,0.003355455566666192,0.003460969825926407,0.003171779788888469,0.0031388444074073726,0.003179730681481656,0.003440125011110872,0.0032451336185187283,0.0035535444148148665,0.003488117848147946,0.0034918259666668477,0.003693052499999828,0.0034935214185191367,0.0033891441222219025,0.0032949683296296657,0.0032937786777783576,0.003132899459258927,0.0033675269703710205,0.0032176717962960942,0.0031442215407406805,0.0033662847703706377,0.0033585851629629395,0.003210211925925756,0.0034997933370370317,0.003276170129629463,0.00336279481481496,0.0033299157592586604,0.0031804493370373166,0.0031594461814814134,0.0033970446333333472,0.0034725736000003355,0.0032862423222224137,0.003535402470370846,0.003419932003703252,0.0034949004555562204,0.003215457592593204,0.003442719529629425,0.0034655168296298887,0.0031929410074073737,0.003493658785185761,0.0032891848074069895,0.00339584942962911,0.003437671359259824
7,amun-api,thoth-amun-api-prod,oct-03-15-compute,amun-api-2-44r7x,0.0005340802666675396,0.0005392956629630472,0.0005183797333302209,0.0005038655037019958,0.0004985090185174259,0.0005008555888909743,0.0004951593814810082,0.0004897425185205335,0.0004918565407394824,0.0004896333148146234,0.0005160830888902031,0.000537685392592485,0.0005362560851844372,0.0005262187592591174,0.0005092977333333692,0.00047714033333384715,0.0004977800740730514,0.0004852354592576039,0.0004951956962974725,0.0005059067561525626,0.0005764708518519776,0.0005623139705870072,0.0005653352259253518,0.0005564628407430266,0.0004807530111133087,0.0005294569000027507,0.0004947151740755847,0.000495602411111004,0.000496092605283575,0.0004905477629647605,0.0004894536296315319,0.0005358401074065317,0.0005161996037040134,0.0005195450851850317,0.0005170030148157687,0.0005395296111095782,0.0005632170444422863,0.000580959748148652,0.0005933549777755279,0.0005668946518502101,0.0005420390666653542,0.0005266660222231521,0.0005065147444434439,0.0004975064518543217,0.0004947627037061601,0.000489874703702366,0.0005031012074074102,0.0004728874074081196,0.00048309273333197106,0.0004994944629625361,0.000496697592593086,0.000503182448149649,0.0005589539666693276,0.0005641421370388276,0.0005571417925912775,0.0005580044185181679,0.0005211028259239996,0.0005233694814840554,0.0005128288518520734,0.0005409890370342679,0.0005101170296290581
8,api,opf-pulp,oct-03-31-compute,pulp-api-5899cb8576-cdcvg,0.0752271545913278,0.06504902524074067,0.04688749757778068,0.04411789884073153,0.042151224940742534,0.040111796048155096,0.039376140833337556,0.03694944534444302,0.04496242778147495,0.05415390116297068,0.05804485059630275,0.06868450968147415,0.07382502181111097,0.07530466738270676,0.07811330423703314,0.0693761581481441,0.056474217007403404,0.04736608499630098,0.03703489275554872,0.025278511281484735,0.024090720051861827,0.023073182344443114,0.02298850227037932,0.021907053677771023,0.02441815908148581,0.0242954987481493,0.022938818522218046,0.024232360918513562,0.024252664333323116,0.022925227811113776,0.0255290663296263,0.023039106907405463,0.021339944881482453,0.022962414470371353,0.022791568333330493,0.022932828596296733,0.02431130785554598,0.023008605185182038,0.022980806892600313,0.021847154903702582,0.024533746022212588,0.024085347451856018,0.02406286876295646,0.02384006522592649,0.023809409155553483,0.02536239245185883,0.02385526647036992,0.0297992379407434,0.03852487568889316,0.043060135985177585,0.04890577772592358,0.04995545988148715,0.05039578999258757,0.049779022274068906,0.04939152439999614,0.0505258900222139,0.049226167662965496,0.05040396592963522,0.05060748149630349,0.05003277126667888,0.050697774062953414
9,apicurio-bot,apicurio-apicurio-registry,oct-03-24-compute,apicurio-bot-75dc486b59-sz2wt,0.0006515573359230235,0.0006220210888887711,0.0006320650333333544,0.000667159114814703,0.0006293772703705364,0.0006367442000000497,0.0006369889111110921,0.0006407154703704574,0.0006587147037035064,0.0006200778193831417,0.0006853699296296209,0.0006565590962961947,0.0006669783518517575,0.0006700382851851861,0.0006755809222222861,0.0006846506222222649,0.0006643049333332683,0.0007080230296295482,0.0006727238703703093,0.0006585142666667539,0.0006736633666666539,0.0006695507333334818,0.0006540229666665322,0.000638515837036906,0.0006602926925927056,0.0006414723222222721,0.0006738268740742081,0.0006813763925924411,0.0006542743074074106,0.0006813805296297284,0.0006660638148147242,0.0006419161037037477,0.0007218382444444126,0.0007107960518518903,0.0006769338962962374,0.0006972879740742513,0.0006839098148149063,0.000688383744444452,0.0006586836222220848,0.0006745691925926976,0.0006941258703704988,0.0006840117407406339,0.0006650680370369258,0.0006374009185185093,0.0006610142037038292,0.0007119254037038277,0.0006854253592593893,0.0007118640592592683,0.0007432619370368449,0.0007456589777777683,0.0007065831629629597,0.0007217830777777736,0.0006618920148146874,0.0006471424185185192,0.0006253777333334391,0.0006681218111111775,0.0005948862547131185,0.0006549755037038149,0.0006501798703703167,0.0006448934777777309,0.0006056397518519858
