,container,namespace,node,pod,2022-04-21_02_00_00,2022-04-21_02_01_00,2022-04-21_02_02_00,2022-04-21_02_03_00,2022-04-21_02_04_00,2022-04-21_02_05_00,2022-04-21_02_06_00,2022-04-21_02_07_00,2022-04-21_02_08_00,2022-04-21_02_09_00,2022-04-21_02_10_00,2022-04-21_02_11_00,2022-04-21_02_12_00,2022-04-21_02_13_00,2022-04-21_02_14_00,2022-04-21_02_15_00,2022-04-21_02_16_00,2022-04-21_02_17_00,2022-04-21_02_18_00,2022-04-21_02_19_00,2022-04-21_02_20_00,2022-04-21_02_21_00,2022-04-21_02_22_00,2022-04-21_02_23_00,2022-04-21_02_24_00,2022-04-21_02_25_00,2022-04-21_02_26_00,2022-04-21_02_27_00,2022-04-21_02_28_00,2022-04-21_02_29_00,2022-04-21_02_30_00,2022-04-21_02_31_00,2022-04-21_02_32_00,2022-04-21_02_33_00,2022-04-21_02_34_00,2022-04-21_02_35_00,2022-04-21_02_36_00,2022-04-21_02_37_00,2022-04-21_02_38_00,2022-04-21_02_39_00,2022-04-21_02_40_00,2022-04-21_02_41_00,2022-04-21_02_42_00,2022-04-21_02_43_00,2022-04-21_02_44_00,2022-04-21_02_45_00,2022-04-21_02_46_00,2022-04-21_02_47_00,2022-04-21_02_48_00,2022-04-21_02_49_00,2022-04-21_02_50_00,2022-04-21_02_51_00,2022-04-21_02_52_00,2022-04-21_02_53_00,2022-04-21_02_54_00,2022-04-21_02_55_00,2022-04-21_02_56_00,2022-04-21_02_57_00,2022-04-21_02_58_00,2022-04-21_02_59_00,2022-04-21_03_00_00
0,acm-agent,open-cluster-management-agent-addon,oct-03-20-compute,klusterlet-addon-workmgr-554964678f-znkxd,0.004737147414814697,0.004311988618519535,0.004808004607408562,0.004728335585185859,0.004880012055555535,0.004926114407406338,0.004988960585185649,0.00457714970740805,0.004766420388888811,0.0043901935666663455,0.004601672274074426,0.004620387466667564,0.004597348677777888,0.004804431718518269,0.004626750922222898,0.004805472466666659,0.004546821229629401,0.004637761648148255,0.004798941240741678,0.004306888099999587,0.004964382951850524,0.004672653522222256,0.004971480699999086,0.004743616251852035,0.004758152477778047,0.004694328737037655,0.004774352118519582,0.0047988283592581464,0.0046511342111123805,0.004529036688888852,0.004632644529628696,0.004988709127947236,0.004590134059260351,0.0046979055407401,0.004441043999999979,0.004566054748149193,0.004697181970370231,0.004643118351852401,0.004832007399998609,0.004613478066666074,0.004925368888889689,0.0046263143518529065,0.00483605835555594,0.005094370551852182,0.004655066396295566,0.004703832066666615,0.005069165707408064,0.004823589896295744,0.005054624803703215,0.004838917377778503,0.004736456511111303,0.004935032592592742,0.004891008418519926,0.004879809755555942,0.004989687518518285,0.004996588640740272,0.005228571581481582,0.005016618388888809,0.004996306462962147,0.004912350181481357,0.004754875062963038
1,alertmanager,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,0.008391235939845032,0.008143834185186818,0.008298331385183835,0.00837783238148404,0.00870619131111299,0.008556733103705482,0.0083637731962982,0.0081538721962985,0.008340480674073829,0.008235946281480142,0.008528672100001805,0.008665627751852973,0.008762028144445612,0.009035536092590148,0.008806596270369482,0.008870454392591556,0.008592572048147068,0.008749845062963384,0.008359365970372219,0.008357165681482676,0.00850884829259384,0.008566596892591472,0.007888852813724,0.008360421425924061,0.008396991592592343,0.008952969796296707,0.008975507544444015,0.00897242334814884,0.00891139380740545,0.008638097229629273,0.008369460603703542,0.007978776955554134,0.007904270959257971,0.008149263644446802,0.00844460571481452,0.008710762366667445,0.009123905437034544,0.009263182051853181,0.00903750612222346,0.009471254300000577,0.008645624311109849,0.00886968327777477,0.008318513803705073,0.0079558059481483,0.007660490829632047,0.007282331103703689,0.007406020781484215,0.007337419903706177,0.0075494332851829115,0.007705003411111075,0.00787630598518229,0.007806775077777409,0.00783979903703598,0.007630601422223899,0.007397800451851962,0.007342752055555374,0.00635160585185009,0.006672736596296831,0.0069619236888886216,0.00615500431481619,0.006697992407407582
2,alertmanager,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,0.007838668892593518,0.007885547574076354,0.00806802822962709,0.007830578014238544,0.007813458574074268,0.00772289661851944,0.00746203352592703,0.007507769703705791,0.007848902037036441,0.008236346407408782,0.008414076203704707,0.008689378311110989,0.008349929759259358,0.008229693366667092,0.008374193292594877,0.007654888651851017,0.008191433303703958,0.007798550396297221,0.00810113695555696,0.007833648740739189,0.0077789837666656534,0.008188307814816654,0.007452345014816175,0.00744693485925786,0.007769769151851778,0.007584114892590691,0.007787883570371279,0.00814920388888991,0.007695770911110838,0.007616388877778702,0.008214991770367948,0.00777307654444586,0.008169270329630376,0.007814589092595272,0.007856584848148624,0.008214294940740663,0.007946491096296358,0.008324326014813038,0.007982749588888881,0.00792924365185307,0.00812445048888751,0.007641546407409841,0.007581445740739854,0.007877261944445817,0.007894870025925399,0.008135043644442369,0.008196621859257939,0.008287967159257852,0.008300439862961397,0.00842296189259489,0.008294633088890235,0.007812504444444604,0.007747676974075285,0.007022966225927291,0.006780894118519093,0.006445506674073708,0.006186587514814704,0.006466215037037022,0.006463518622220162,0.006070350603706041,0.006235673981481578
3,alertmanager,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,0.0053135604925922016,0.004866869848149657,0.005265715481482402,0.005211901802976308,0.005061074422221484,0.005286305892593225,0.004843472759259587,0.004997067864722657,0.004871774685184223,0.004840716670369821,0.004885875688887609,0.004978490585185851,0.004849389970370424,0.004887288737036552,0.005240442903703769,0.005153833137038183,0.005045389962961728,0.004865436792592677,0.004884298233333471,0.0048315181740741136,0.00496217424444391,0.004691623777777446,0.00470509604073986,0.004962403255555088,0.004861713322221746,0.0049149172037030245,0.0052021200185175046,0.005099849755554344,0.005106015022223195,0.005045563185184518,0.004804395474073115,0.005024726929628674,0.004628304359259885,0.0048788870962973175,0.00500756888518481,0.005170970592593626,0.0050732190592582445,0.004809884285185507,0.0045616422370366545,0.005154751859259301,0.005207918707408142,0.004755452870370358,0.004974803051852548,0.005015536751852778,0.005020635126925811,0.005259021533333066,0.005009931007407431,0.005063932944444282,0.005222550422222075,0.004966730996297715,0.0051096939333328244,0.004724940129630408,0.00496543912962874,0.004592993370370432,0.004828520777777226,0.004496138351852871,0.0044945972629631325,0.0047613204592599455,0.004514547125925809,0.004723595666665562,0.00482094926296331
4,alertmanager-proxy,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,0.005738845123615555,0.005768298611112052,0.005738480703703992,0.006028717499999335,0.0056870998074087025,0.006412172111111903,0.006158024814814983,0.006408298974073895,0.005987389603704422,0.0057031889666665884,0.005598235203702912,0.006201195585184973,0.006398144896295182,0.005874063244443649,0.0055998533259248185,0.005825191562962573,0.005837851696295965,0.005830870574074517,0.005816445881481303,0.006042733907406728,0.006074859196296192,0.0058962604555559935,0.00631596077378204,0.006127174270369762,0.006143153866666277,0.0059654284888893015,0.006070439970370798,0.005755242029629328,0.006081608648146694,0.005532352607407895,0.005511617277776774,0.005660767500000509,0.0055054854370374185,0.005939388966667307,0.006096408133333642,0.005855987181481666,0.006267370411111457,0.006483216581482001,0.005962726770370932,0.006149520544443442,0.006400916614814344,0.006438583725925869,0.006059406948147457,0.005574176774073042,0.00516605604444454,0.005003336511110858,0.004985479148148511,0.005012534274074251,0.005272453122222066,0.005554442174073942,0.005457336762962465,0.005755040225925836,0.005031645959259011,0.004778652274074004,0.004971761107407036,0.005171901462964108,0.005131798503703909,0.004360354355555871,0.004771954322221199,0.004889680611109657,0.004476551881481538
5,alertmanager-proxy,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,0.00601939579629558,0.006375811459259207,0.00614682622962964,0.006409900060000474,0.006452532740740937,0.006062120511111332,0.006401408088888478,0.0061936004629623564,0.005834485340740989,0.0061844041111103094,0.005672364740741143,0.00577985998148102,0.005914002199999772,0.005958258196297149,0.006341587451852658,0.005840797055555381,0.005933276985184355,0.00613715323333458,0.006619771999999946,0.006340073100000156,0.006454623640741342,0.006729597277778037,0.0060999092148146415,0.00603695044074239,0.0062350088555545155,0.006298589525926624,0.005946259096296033,0.006344536555555656,0.005884965370370521,0.0059949145407413385,0.0059433357037034056,0.0063583458074070376,0.006247084051852251,0.006333049859259283,0.0058471522074072455,0.005994240874074592,0.006210317507406285,0.005817068237037247,0.006367682211110287,0.006326351214814472,0.0058441418333334,0.006060085066666136,0.006596288048147608,0.006509425637038174,0.00651361909629621,0.006245455822222035,0.0065243980703700005,0.006439432355556266,0.006519322711111037,0.006442996733334508,0.005971380088887466,0.0058452391518518144,0.005562439507406858,0.005713795222222704,0.0054290990296303136,0.005109554603704629,0.005248367137036677,0.00526889873333487,0.005427640548148501,0.005168320788888432,0.005470780844445001
6,alertmanager-proxy,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,0.003266113425926657,0.0031080193333334846,0.003242558466666668,0.003290169690145354,0.003177916033332959,0.0032082457111115487,0.003312245644444071,0.0032760330267822962,0.003427749855555467,0.003171798081482141,0.0031953879851850313,0.003167937414814838,0.003432782096296318,0.0034662892296292167,0.0034153286259264925,0.0031532775518514798,0.0032418839074075047,0.0031031889629629305,0.0033348239481475264,0.003270256348148198,0.0033369728962969495,0.0033942825851850274,0.0034970958148143705,0.00307756437037083,0.003195070929629967,0.0031467053925923584,0.0032631674296293637,0.0034796888333335965,0.0032361472222225567,0.0030841071037036307,0.0033674591518522198,0.0033758708592586117,0.0032153227407409053,0.0031486535407414824,0.0034896822740738236,0.0033890553148147,0.003144525677778263,0.003345050318518117,0.0032206681925926106,0.0032838092074067996,0.0034958024925926014,0.0032072165185186184,0.0036847804851849676,0.0034093178370371625,0.0036220235298042584,0.003204253829630101,0.0031754421703697987,0.00329787764444518,0.003331671762962456,0.003066701748147588,0.0031693876629628063,0.0030681532407411563,0.003196521081480973,0.003222789311111127,0.0032154425407405277,0.0032988059111117027,0.0032539573962956773,0.0029914210074071823,0.003170991266666466,0.0034067115444444155,0.0033401953851849883
7,amun-api,thoth-amun-api-prod,oct-03-15-compute,amun-api-2-44r7x,0.0005350402444441393,0.000512637600000003,0.0005059285407393569,0.0005195760666673003,0.0004969523336875288,0.0005131005666667248,0.0005238355037026513,0.0005337289037049266,0.0005012863296289854,0.0004928968222227721,0.0004882047333332459,0.000530313625924666,0.0005109230962969175,0.000510815551851246,0.000499937870369683,0.0005173556037031328,0.0005082041370365511,0.0005045463074077782,0.0004799494444442745,0.0005007388481485746,0.0005144975666671261,0.0005159609814806269,0.0005145181333335603,0.00048372640370265195,0.0004719875368072328,0.0004946050037031253,0.0004958519111116605,0.00047274366666661755,0.0005281823518527274,0.0005092020037038849,0.000480974174075123,0.0005396187851854646,0.0005734390629640984,0.0005294976592587639,0.0005446674703694886,0.0005694381518508264,0.0005104612407413462,0.0004946667444444217,0.0005051548333338159,0.0004782340333332724,0.0005144041518515561,0.0005212241851849184,0.0005284270296282625,0.0005224104814816302,0.0004917181444448539,0.0005069710814815928,0.0005251654740732192,0.000513036729629406,0.0005243944925934085,0.0004932464259262041,0.0004956125111119845,0.0005008525037047312,0.0005144730851851718,0.0005283037851852526,0.0005309183333321454,0.0005122616795440915,0.0005262904851861094,0.0005080504592586767,0.0005343125962975103,0.0005188009296287217,0.0005446909364979266
8,api,opf-pulp,oct-03-31-compute,pulp-api-5899cb8576-cdcvg,0.04026133689036359,0.04104353651111726,0.040750304040732405,0.03904457259629487,0.038710363848157514,0.03915054904814665,0.03834188964074538,0.04033928865925797,0.04062914389998898,0.03718376933704551,0.03328738004813742,0.03273897754815052,0.026520509592592133,0.02810048251852061,0.039348268077783695,0.04927267699628525,0.06471236314073732,0.07651213755555175,0.0773951815962964,0.07710161278519082,0.08025642191850811,0.06628217787777733,0.05222528471481551,0.042412956077788735,0.03071260147997443,0.024169809496298614,0.0241759496296355,0.022762862381474677,0.022648938670371772,0.02397699930370436,0.024035241644445773,0.02240135207777914,0.023800062655559655,0.02720281524074111,0.03318142779259048,0.035508271670362405,0.03727145415925609,0.039312490907414704,0.04187094782963094,0.03862422413702815,0.03860006490739815,0.04146056484814498,0.038859518529635456,0.04036276022963176,0.037977013622218725,0.04258676529630234,0.05113177334814854,0.0604146575074049,0.07144593390000444,0.08009311518147082,0.08258018897777894,0.08338556776666169,0.07870548398518791,0.0664625048555603,0.05456884577777399,0.039236131188887094,0.025790030918519564,0.02536409318889599,0.029345423992587407,0.03432859794445028,0.04268653653704893
9,apicurio-bot,apicurio-apicurio-registry,oct-03-24-compute,apicurio-bot-75dc486b59-sz2wt,0.0006265629373950802,0.00064177700000014,0.0006404421629630026,0.0006527849185185157,0.0006382032836793985,0.0006370239079387029,0.0006252118481481999,0.0006589865814815026,0.0006373586814816093,0.0006411791592591322,0.0006588905555554868,0.0006540167481480913,0.0006446866259260012,0.0006384316814816245,0.00064614214074073,0.0006582394888888993,0.0006685687301386259,0.0006398031925925807,0.0006971391814814793,0.0006682547370370752,0.000670003340740811,0.0006528266592591047,0.0006385882370371595,0.0006585498629628243,0.0006539321592594273,0.0006471770296295072,0.0006869379481482038,0.0006807152777778609,0.000668903618518639,0.0006714944074074252,0.0006672781296296543,0.0006602112703704834,0.0006634191734753641,0.000657849288888799,0.0006156709222222145,0.0006222272851853514,0.0006265232259257421,0.0006223400666665721,0.000694866225925942,0.0006571129370370357,0.0006679262444444484,0.0006468424074074409,0.0006946457814813636,0.0006735455592591836,0.000689974037037136,0.0006358670962962758,0.000672423725925834,0.0007011553518517994,0.0006266613444444779,0.0006450724666666265,0.0006326650185184446,0.0006444701148148448,0.0006409355037038512,0.000640821381481542,0.0006230059296296144,0.0006606214629629096,0.0006708575629629734,0.0006340042407407088,0.0006347370777777745,0.0006274381888888289,0.0006199016703703819
