,container,namespace,node,pod,2022-04-21_19_00_00,2022-04-21_19_01_00,2022-04-21_19_02_00,2022-04-21_19_03_00,2022-04-21_19_04_00,2022-04-21_19_05_00,2022-04-21_19_06_00,2022-04-21_19_07_00,2022-04-21_19_08_00,2022-04-21_19_09_00,2022-04-21_19_10_00,2022-04-21_19_11_00,2022-04-21_19_12_00,2022-04-21_19_13_00,2022-04-21_19_14_00,2022-04-21_19_15_00,2022-04-21_19_16_00,2022-04-21_19_17_00,2022-04-21_19_18_00,2022-04-21_19_19_00,2022-04-21_19_20_00,2022-04-21_19_21_00,2022-04-21_19_22_00,2022-04-21_19_23_00,2022-04-21_19_24_00,2022-04-21_19_25_00,2022-04-21_19_26_00,2022-04-21_19_27_00,2022-04-21_19_28_00,2022-04-21_19_29_00,2022-04-21_19_30_00,2022-04-21_19_31_00,2022-04-21_19_32_00,2022-04-21_19_33_00,2022-04-21_19_34_00,2022-04-21_19_35_00,2022-04-21_19_36_00,2022-04-21_19_37_00,2022-04-21_19_38_00,2022-04-21_19_39_00,2022-04-21_19_40_00,2022-04-21_19_41_00,2022-04-21_19_42_00,2022-04-21_19_43_00,2022-04-21_19_44_00,2022-04-21_19_45_00,2022-04-21_19_46_00,2022-04-21_19_47_00,2022-04-21_19_48_00,2022-04-21_19_49_00,2022-04-21_19_50_00,2022-04-21_19_51_00,2022-04-21_19_52_00,2022-04-21_19_53_00,2022-04-21_19_54_00,2022-04-21_19_55_00,2022-04-21_19_56_00,2022-04-21_19_57_00,2022-04-21_19_58_00,2022-04-21_19_59_00,2022-04-21_20_00_00
0,acm-agent,open-cluster-management-agent-addon,oct-03-08-compute,klusterlet-addon-workmgr-7b9f55df74-rkcdh,0.01304839121111088,0.011653373402225076,0.009228759397611995,0.005417506434098406,0.003776865520672294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,alertmanager,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,0.010091469000850397,0.008076172140222155,0.010444772129054505,0.00887191642341148,0.009544283510265468,0.007238730217191276,0.009498040029629246,0.00923080553333151,0.010058801933333868,0.009996087807407836,0.010160894444447035,0.010217912892592183,0.010315751533333377,0.00998874939629483,0.010248612300000348,0.009630099288888569,0.00991919139259052,0.010216046929629859,0.009711352762961825,0.009731149014812588,0.009938713240740913,0.009432742611113133,0.009337287374074988,0.009506176111109974,0.009690022911113544,0.009840724381481576,0.009769657811109398,0.00980188875555541,0.009671725048145972,0.009856558322223498,0.009785187855555301,0.009699116481483038,0.009809043803704332,0.010144777077776881,0.009909181292591206,0.009933802129627885,0.009861467218518185,0.01016771645925945,0.010148110437037556,0.009685794196293838,0.009892962817830458,0.009141743277777331,0.009309081129628829,0.009949669829630794,0.009852511959259035,0.009652642862962508,0.010439297385184749,0.009631189311110374,0.00969558339629657,0.010248126514815575,0.010001435322222581,0.01021794634814931,0.010646227607409216,0.009863515962964205,0.009847489637037075,0.009923376625927093,0.009203445444442574,0.009307452377780228,0.009471745748147374,0.009117766596295108,0.009516657255554256
2,alertmanager,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,0.008415679599999785,0.007104376722160546,0.005517828202474599,0.0035906806856780744,0.0024283281814121843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,alertmanager,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,0.005114519681481196,0.004395046589010192,0.003358060340746809,0.002532551840816755,0.0011560689341863582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,alertmanager-proxy,openshift-monitoring,oct-03-03-compute,alertmanager-main-0,0.006561346539875706,0.005739216449887586,0.006749225466666286,0.006863977825927309,0.007296783733333238,0.004896803325041095,0.00646148991852021,0.007167831007407383,0.007121536259260379,0.00673811951288309,0.007063168022220149,0.007126929344445267,0.007013307085186103,0.00689673325555473,0.007356769466665961,0.0070380745629605645,0.0066509338296277245,0.006826145688888506,0.006667161925923682,0.007388025869602442,0.007028259951851026,0.006999591851854348,0.007471645044444341,0.0070803574222197685,0.006696961388886982,0.0065182152370383585,0.0067864766629638865,0.007018822274073535,0.00701198535185136,0.007000399892593932,0.0067544671259249164,0.007328641329628159,0.007169260548147981,0.007212504503705633,0.00748251972592563,0.007582862844443568,0.007900728151849359,0.006960866444441544,0.007013500218518285,0.007330515712554845,0.007095902840740531,0.00738489469844206,0.007131802370369972,0.006877848222221575,0.006948866337036937,0.006930250033332818,0.0069289640074068175,0.006943654905737751,0.0071156982222217065,0.00656299263333427,0.006545153922221895,0.006930794907408132,0.007262527855554827,0.006552607344444065,0.0070127819037056555,0.00692021461481326,0.0069376365148147885,0.006729631481478767,0.006728485029627875,0.006768706211109761,0.007226557348147051
5,alertmanager-proxy,openshift-monitoring,oct-03-09-compute,alertmanager-main-2,0.006310912748148003,0.005057989029607035,0.006006605985184825,0.006261258985184922,0.006341235618517912,0.005166844766278552,0.006067226396295089,0.006429966196297016,0.006267181440740321,0.006502263311110964,0.006444397703703714,0.0063900002444437715,0.006092977088888399,0.006109909681481442,0.0064313336888887915,0.006447811988888405,0.006487301103703028,0.006223691537036725,0.006233615907406906,0.006257864359258749,0.006299920103703229,0.006359251403702932,0.0062303530740741245,0.006732670418518361,0.006606822098433472,0.006079937933332583,0.006120084829630019,0.006333143029629625,0.006198860833332961,0.006301337218519622,0.0063824393962965634,0.006160664314815964,0.006400286992591108,0.006631336799999326,0.0063528702592588245,0.006630373000000504,0.006306427277778077,0.006424636262963087,0.0067937010407419,0.006050236977779169,0.006656545651852261,0.006152946785185258,0.005988199740741713,0.005998063885184552,0.006200096251356982,0.006533038311110635,0.005990288859259267,0.006232756777778075,0.006456811618518597,0.0065225094925911754,0.0062204653333335766,0.006565740167921306,0.006628309851851522,0.006235365211110819,0.0059638832037038556,0.006209042614813776,0.006227583125925138,0.0058806061407402155,0.006384537244444061,0.006463013025924942,0.006606726592592708
6,alertmanager-proxy,openshift-monitoring,oct-03-12-compute,alertmanager-main-1,0.0031326026037032974,0.0028942008149668488,0.0034085155999996966,0.003244913959259032,0.0031105004888895903,0.0025944990676763746,0.0033248045370370435,0.0032861684629627535,0.0033409692370368147,0.003391164159259259,0.0031952379592591266,0.0032236047555552773,0.003241961362963324,0.003280505148147852,0.0032557521518524653,0.0032775684148149326,0.0032440587555550306,0.0033390092555557072,0.003375885233333099,0.0034837422481477577,0.0033221803111111383,0.003555255366666609,0.0033989050888884004,0.0032522815962971034,0.003266833633333759,0.003213782425926318,0.003165253403704406,0.003316821329629723,0.003430122922222162,0.003095087033333315,0.003335431192592161,0.003176259003703308,0.0033150027111105373,0.003189427666667076,0.003178398011111009,0.003330397025925541,0.003431070977777987,0.0032538213111104565,0.003514431588888767,0.003253440070370238,0.0034383710962966117,0.0034803326851850355,0.0034632307740737273,0.0035980969629623295,0.0031891543444443316,0.0034301965888887394,0.003447811411111043,0.003260697533333028,0.003298322011111547,0.003291424092593068,0.003442220559259955,0.00312805258888939,0.0033691181074076396,0.003252787344444254,0.0032603508481484087,0.0035289409148154607,0.0032223673555555016,0.003448883892592339,0.003411982577778064,0.003153278392592593,0.003300779970369924
7,amun-api,thoth-amun-api-prod,oct-03-15-compute,amun-api-2-44r7x,0.0004838119111135947,0.0004193937430089112,0.0004951653962962155,0.0005090808037022254,0.0005434448370376938,0.00042136688323423033,0.0005479426777768553,0.0005059007481476228,0.0004547746370378634,0.00047715755185048764,0.0004994929222212469,0.0004768107643672201,0.0004728174851859674,0.0005151003955654945,0.0004898024851846222,0.00048450865926025915,0.0005112929296316267,0.0005465659259277379,0.0005286635777776139,0.0005208210074097561,0.000505405407407293,0.0005348337950957159,0.0005768442444436746,0.000545706237038825,0.0005193924655930041,0.0004957727148158247,0.0005015353592608773,0.0005053321111113797,0.0005141169037044703,0.0005178160888910363,0.0005090933158501017,0.0004884273666667233,0.0004927748185191714,0.0004933912777805408,0.0005340465888905412,0.0005176354481490206,0.0005311237592582916,0.0004917646074082533,0.0005073489333342338,0.0005152986407429799,0.0005124334777772472,0.0004828868209660318,0.0004794783148167038,0.000525056492592234,0.0005495142407400838,0.000522636077780421,0.0005319634744811614,0.0004920135999984471,0.0004941030407381833,0.000511014948147527,0.0005224952592571855,0.0005053758888876743,0.0005529047481475034,0.000534679062962419,0.0005063478962963725,0.00044659984444445365,0.0004647192999982508,0.0005059949703704829,0.0005315710074076681,0.0005752964518520727,0.0005298405925949972
8,api,opf-pulp,oct-03-31-compute,pulp-api-5899cb8576-cdcvg,0.02080596352451867,0.017474819180975917,0.012991286547767093,0.00857347291916531,0.0036322235828584234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,apicurio-bot,apicurio-apicurio-registry,oct-03-24-compute,apicurio-bot-75dc486b59-sz2wt,0.0005711310434851917,0.0004630670393108141,0.0006305619185184242,0.0005672479074072961,0.0005749835629629801,0.00046856874027469077,0.0006181752185185545,0.0006269731370370782,0.000590097374074124,0.0006067241999999254,0.0005896957518517512,0.0006030653555557012,0.0005930737703703538,0.0006507442222222701,0.0006644607703705147,0.000659246751851899,0.0006773180481481497,0.0006996082370371234,0.000675943988889045,0.0007028170037036338,0.0006536903925926389,0.0006987280289478332,0.0006630226037038433,0.0006576922740740193,0.0006843618555554561,0.0006488094296295694,0.0006462208481482153,0.0005887467777778579,0.0005824394703703698,0.0005925477925925576,0.0006031667555555908,0.0006017725111110782,0.0005413455111112045,0.0005687445962962556,0.0005197872740739985,0.0005315463107680721,0.000580019825925833,0.000555616559259104,0.0005799333851851114,0.0006103811629629861,0.0006193519148146825,0.0006447061444444242,0.0006381614962964267,0.0006513055222222244,0.000619481911111195,0.000626959233333461,0.0006332671296297156,0.0006239242666666727,0.0005857024629630427,0.0006200750148149449,0.0006396939814814468,0.0006090916259259521,0.000599691059259326,0.0006133095407407112,0.0006387448222222213,0.0006382086333332979,0.0006257574481480788,0.0006476867629630676,0.0006260830666667095,0.0006394149259257894,0.0006734109370370334
